h,Timestamp,ID,Tinggal di PPR semenjak,"Bagi responden yang tinggal di PPR kurang daripada 12 bulan, sila nyatakan tempoh dalam bulan:",Air,Elektrik,Telefon,"Jumlah tanggungan bil telefon, sila nyatakan:",Internet (unifi/maxis/lain-lain),Anggaran perbelanjaan perubatan sekeluarga sebulan,Anggaran perbelanjaan makanan asas sekeluarga sebulan,Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Susu],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Lampin],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Tambang bas],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Yuran sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Duit makan sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Alat menulis],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Buku termasuk buku latihan],Adakah anda mempunyai kanak-kanak bawah umur 12 yang belum terima vaksinasi?,Adakah anda menghadapi masalah tikus di rumah ataupun di tingkat rumah anda?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana kencing tikus?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana denggi?,Adakah masalah tikus di persekitaran PPR sudah mencapai tahap yang serius?,"Jikalau ada apa-apa masalah serangga atau haiwan perosak selain dari nyamuk dan tikus, sila nyatakan:",Sumber air bersih atau tidak?,Apakah cadangan mencegah membaling sampah kebawah dari atas?,Adakah rumah anda pernah dipecah masuk?,Pernahkah ahli keluarga menjadi mangsa jenayah di Kota Damansara,"Jikalau ada, nyatakan jenis jenayah:",Adakah terdapat aktiviti yang berkaitan dengan dadah di kawasan PPR?,Adakah isi rumah umur 17 ke bawah yang meninggal dunia?,"Jika ada, sila nyatakan sebab:","Sekiranya ada berlaku kematian oleh salah seorang dari ahli keluarga anda yang berumur 17 kebawah, sila nyatakan lokasi:",Tarikh survey ini di isikan oleh enumerator atau responden
110,18/04/2016 22:49,a4f7b54c0d291cca4f9ef4bfe108c36da5d195983b98a8273537fc31ccf9d683,13,,< 20,< 50,,,< 100,< 100,< 800,,,,,150 ke atas,,,,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
111,26/04/2016 13:10,32e6d81d36ebe3dfb794b56f8c1337076071b1f9c393d4155d633c77b8b76d36,7,,< 20,< 50,,,,200 ke atas,< 500,,,< 100,,< 150,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,18/02/2016
112,13/09/2016 15:04,d62709eb57f86c45ebb29a2ad6254d19ec16cbc86cc807656e1fe4a3b32efe5b,13,,< 20,< 50,,,0,< 50,< 600,0,0,< 100,150 ke atas,0,< 100,< 100,Tidak,Tidak,Tidak,Ya,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,02/06/2016
113,22/08/2016 13:12,398cba836424b3e80d3662479eb49bb06adf9d6067691cbfd1024625721d30f6,4,,< 40,< 50,,,0,200 ke atas,< 500,,,,,,,,,Tidak,Tidak,Tidak,Ya,"kucing, lipas",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
114,01/09/2016 13:40,cc4a05295ed068b1b483de3fecd388c9f20d02430e99eb37fedda1dfb94704da,12,,< 20,< 75,,,0,< 100,< 500,,,< 125,,< 150,,,Ya,Ya,Tidak,Ya,Ya,"kucing, lipas",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
115,19/04/2016 17:22,9d9a7f8bf6b08e9fdaf2f3bd8cdd4340de6b0e950945c2f0ef4fa52dac1ac05a,7,,< 60,< 75,,,,200 ke atas,800 ke atas,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Tidak tahu,Tidak,Tidak,Ya,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Tidak,Tidak,,,17/02/2016
116,22/08/2016 12:26,b320d5ea1b3201dab445633ca022235b670e0c34113d4f56c01291b9f3a036b8,4,,< 20,< 100,,,0,< 100,< 500,0,0,< 100,150 ke atas,0,0,< 150,Ya,Tidak,Tidak,Ya,Ya,"lipas, pijat",Tidak,Memasang cctv,Ya,Tidak,,,Tidak,,,19/02/2016
117,22/08/2016 13:47,8a8aeff48aec4a79e354f23635b5a4e4346f55802900ba08e9ffa24628cd7725,5,,< 20,< 50,,,0,< 100,< 600,150 ke atas,150 ke atas,0,< 100,< 100,0,0,Tidak,Tidak,Tidak,Ya,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
118,01/09/2016 13:38,153af0c2cb58cc64d1c9172b76afd382add0381e0291367c225c2c48ad410bfb,6,,< 60,< 125,,,0,< 100,< 500,,,,,< 100,,,Ya,Tidak,Tidak,Ya,Ya,"lipas, kucing",Tidak,Memasang cctv,Tidak,Tidak,,Ya,,Kerumitan lahir,,
119,22/08/2016 11:58,dc3c8ea217aa57df64e21e7b07c1da8e719fab9ada2f7edbe5cb61a4453eca79,2,,< 20,< 75,,,0,0,< 600,0,0,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,kucing,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,15/02/2016
120,01/09/2016 10:58,c016fc8e50accbff848d9fbbbff3d81d3f2fdf59436ab3fa10d7bdafe8fc1d21,11,,< 20,< 50,,,0,200 ke atas,800 ke atas,,,,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Tidak,Tidak,Tidak,Ya,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
121,22/08/2016 13:36,835a2ef184b9f1916a4a6a0c48f4b78f2f39712430ba0fa0ed26e40501971345,15,,< 40,< 100,,,0,200 ke atas,800 ke atas,< 125,< 125,0,< 125,< 125,0,< 125,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,16/02/2016
122,01/09/2016 13:22,43c3ce4ead89ef70fc449bc7640c68ef7e3a8674840f650a630d093bcce95e42,8,,< 60,< 50,,,0,< 100,< 500,< 100,0,< 100,< 100,< 100,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,"lipas, semut",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
123,22/08/2016 13:23,dcab3314ff0fc8697fcadbd6a4068f9fa0d77bbb7cf117fba5f35452648f54ae,6,,< 20,< 50,,,0,< 150,< 700,0,0,< 100,0,< 100,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,lipas dan kucing,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,15/02/2016
124,01/09/2016 13:42,6fd11bdc39ace60556ce8cc0a35acac9619c49c509206f22ca7047422c8ec0f4,13,,< 40,< 75,,,0,,< 600,< 125,< 100,,,,,,Ya,Tidak,Tidak,Ya,Ya,"semut, lipas",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
125,26/04/2016 12:30,dff7df052e7cb97a063f63e6584e5aba0a1b1c2ef71e40cd4d300eab1999dca9,16,,< 20,< 50,,,150 ke atas,200 ke atas,< 700,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,,,,16/02/2016
126,19/04/2016 18:16,3d0dac25cb8fe57260004ed6fd2a504d3b0aa23e330368274f1616635f1b04e7,13,,80 ke atas,< 100,,,,,800 ke atas,,,,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
127,18/04/2016 23:45,f02f8d8c30366f6d004839a2ee44893f995877b989b049dc26d37adb86d489a1,14,,< 40,< 50,,,,< 100,< 600,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,22/02/2016
128,18/04/2016 23:09,2e4f5f567e5e22ccb1a0b603a0c958b3fae4650bdbad85ff9764aea37fcd8325,10,,,,,,0,0,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
129,28/04/2016 23:44,d05a369c6acb03f50b1e7b4b272ede32c10246de4f41cd6f2235d6ba33b978ef,2,,< 20,< 100,,,0,0,< 500,< 100,150 ke atas,< 100,150 ke atas,< 150,< 150,< 150,Ya,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
